,Person,Day,Time,Replicate,Location ,Score,Rating ,dB,Rating_n,dB_n
1,Paige,Monday,AM,1,Main Library,5.29,4,49.1,0.444444444,0.614518148
2,Paige,Monday,AM,1,Common Room,3.66,2,40.7,0.222222222,0.509386733
3,Paige,Monday,AM,1,Student Union,7.27,6,62.9,0.666666667,0.787234043
4,Paige,Monday,PM,1,Student Union,8.04,7,66.4,0.777777778,0.831038798
5,Paige,Monday,PM,1,Common Room,4.49,3,45.1,0.333333333,0.564455569
6,Paige,Monday,PM,1,Main Library,6.18,5,54.3,0.555555556,0.679599499
7,Paige,Monday,AM,2,Common Room,2.88,1,37.2,0.111111111,0.465581977
8,Paige,Monday,AM,2,Main Library,4.8,3,50,0.333333333,0.625782228
9,Paige,Monday,AM,2,Student Union,6.36,5,57.2,0.555555556,0.715894869
10,Paige,Monday,PM,2,Common Room,3.51,2,38.3,0.222222222,0.479349186
11,Paige,Monday,PM,2,Main Library,6.08,5,52.8,0.555555556,0.660826033
12,Paige,Monday,PM,2,Student Union,6.98,6,58.2,0.666666667,0.728410513
13,Paige,Wednesday,AM,1,Common Room,2.89,1,37.3,0.111111111,0.466833542
14,Paige,Wednesday,AM,1,Student Union,6.35,5,57.1,0.555555556,0.714643304
15,Paige,Wednesday,AM,1,Main Library,5.29,4,49,0.444444444,0.613266583
16,Paige,Wednesday,PM,1,Main Library,5.34,4,49.8,0.444444444,0.623279099
17,Paige,Wednesday,PM,1,Student Union,7.86,7,63.4,0.777777778,0.793491865
18,Paige,Wednesday,PM,1,Common Room,4.32,3,42.4,0.333333333,0.530663329
19,Paige,Wednesday,AM,2,Main Library,5.93,5,50.3,0.555555556,0.629536921
20,Paige,Wednesday,AM,2,Student Union,7,6,58.6,0.666666667,0.733416771
21,Paige,Wednesday,AM,2,Common Room,2.84,1,36.5,0.111111111,0.456821026
22,Paige,Wednesday,PM,2,Common Room,2.86,1,36.8,0.111111111,0.46057572
23,Paige,Wednesday,PM,2,Student Union,7.86,7,63.5,0.777777778,0.794743429
24,Paige,Wednesday,PM,2,Main Library,6.76,6,54.7,0.666666667,0.684605757
25,Paige,Friday,AM,1,Common Room,3.02,1,39.4,0.111111111,0.493116395
26,Paige,Friday,AM,1,Main Library,5.28,4,48.9,0.444444444,0.612015019
27,Paige,Friday,AM,1,Student Union,6.93,6,57.4,0.666666667,0.718397997
28,Paige,Friday,PM,1,Student Union,8.66,8,67.3,0.888888889,0.842302879
29,Paige,Friday,PM,1,Main Library,5.37,4,50.3,0.444444444,0.629536921
30,Paige,Friday,PM,1,Common Room,3.03,1,39.5,0.111111111,0.49436796
31,Paige,Friday,AM,2,Common Room,2.94,1,38.1,0.111111111,0.476846058
32,Paige,Friday,AM,2,Main Library,5.47,4,51.9,0.444444444,0.649561952
33,Paige,Friday,AM,2,Student Union,7.38,6,64.6,0.666666667,0.808510638
34,Paige,Friday,PM,2,Common Room,4.01,2,46.3,0.222222222,0.579474343
35,Paige,Friday,PM,2,Student Union,8.21,7,69,0.777777778,0.863579474
36,Paige,Friday,PM,2,Main Library,5.51,4,52.6,0.444444444,0.658322904
37,R M,Monday,AM,1,Student Union,6.8,5,64.33,0.555555556,0.805131414
38,R M,Monday,AM,1,Common Room,3.38,1,45.1,0.111111111,0.564455569
39,R M,Monday,AM,1,Main Library,4.63,2,56.3,0.222222222,0.704630788
40,R M,Monday,PM,1,Student Union,7.85,6,72.1,0.666666667,0.902377972
41,R M,Monday,PM,1,Main Library,4.57,2,55.25,0.222222222,0.691489362
42,R M,Monday,PM,1,Common Room,3.43,1,45.9,0.111111111,0.574468085
43,R M,Monday,AM,2,Main Library,5.19,3,56.35,0.333333333,0.705256571
